experiment_id,algorithm,crossover,mutation,run_id,timestamp,pop_size,n_gen_max,n_gen_real,n_final_pop,n_feasible_final,f1_min_feas,f1_mean_feas,f2_min_feas,f2_mean_feas,fitness_yolo_max_feas,fitness_yolo_mean_feas,ref_point_hv,hypervolume_feas
TV_sbx_polynomial_run01,nsga2,sbx,polynomial,1,2026-02-13T21:55:11.625190,30,50,51,30,30,-0.9759544730186462,-0.9050180335839589,4.0,9.933333333333334,0.9759544730186462,0.9050180335839589,"[0.0, 80]",73.45850026607513
TV_sbx_polynomial_run02,nsga2,sbx,polynomial,2,2026-02-13T22:24:38.636792,30,50,51,30,30,-0.9750305414199829,-0.9400709291299184,3.0,17.466666666666665,0.9750305414199829,0.9400709291299184,"[0.0, 80]",73.87914234399796
TV_sbx_polynomial_run03,nsga2,sbx,polynomial,3,2026-02-13T22:58:26.491051,30,50,51,30,30,-0.977628767490387,-0.8436714986960093,4.0,10.9,0.977628767490387,0.8436714986960093,"[0.0, 80]",73.68610394001007
TV_sbx_polynomial_run04,nsga2,sbx,polynomial,4,2026-02-13T23:32:50.086903,30,50,51,30,30,-0.9758635759353638,-0.9068216820557912,5.0,14.233333333333333,0.9758635759353638,0.9068216820557912,"[0.0, 80]",71.84486043453217
TV_sbx_polynomial_run05,nsga2,sbx,polynomial,5,2026-02-14T00:12:37.127424,30,50,51,30,30,-0.9765831232070923,-0.9028099656105042,3.0,15.466666666666667,0.9765831232070923,0.9028099656105042,"[0.0, 80]",74.02928477525711
TV_sbx_polynomial_run06,nsga2,sbx,polynomial,6,2026-02-14T00:38:55.433605,30,50,51,30,30,-0.962079644203186,-0.8491498152414958,3.0,6.533333333333333,0.962079644203186,0.8491498152414958,"[0.0, 80]",73.20483654737473
TV_sbx_polynomial_run07,nsga2,sbx,polynomial,7,2026-02-14T01:31:16.455681,30,50,51,30,30,-0.9797499179840088,-0.873505711555481,3.0,30.9,0.9797499179840088,0.873505711555481,"[0.0, 80]",73.276775598526
TV_sbx_polynomial_run08,nsga2,sbx,polynomial,8,2026-02-14T01:54:48.176680,30,50,51,30,30,-0.9735809564590454,-0.8295534729957581,3.0,7.633333333333334,0.9735809564590454,0.8295534729957581,"[0.0, 80]",74.08324182033539
TV_sbx_polynomial_run09,nsga2,sbx,polynomial,9,2026-02-14T02:56:23.468437,30,50,51,30,30,-0.9749612808227539,-0.8684737741947174,3.0,34.8,0.9749612808227539,0.8684737741947174,"[0.0, 80]",73.04890713095665
TV_sbx_polynomial_run10,nsga2,sbx,polynomial,10,2026-02-14T03:20:26.135446,30,50,51,30,30,-0.9712519645690918,-0.9171136299769084,4.0,11.166666666666666,0.9712519645690918,0.9171136299769084,"[0.0, 80]",72.85455983877182
