experiment_id,algorithm,crossover,mutation,run_id,timestamp,pop_size,n_gen_max,n_gen_real,n_final_pop,n_feasible_final,f1_min_feas,f1_mean_feas,f2_min_feas,f2_mean_feas,fitness_yolo_max_feas,fitness_yolo_mean_feas,ref_point_hv,hypervolume_feas
chair_sbx_polynomial_run01,nsga2,sbx,polynomial,1,2026-02-13T15:31:31.527579,30,50,51,30,30,-0.982092022895813,-0.8286043673753738,3.0,6.966666666666667,0.982092022895813,0.8286043673753738,"[0.0, 80]",74.20391535758972
chair_sbx_polynomial_run02,nsga2,sbx,polynomial,2,2026-02-13T16:30:52.077128,30,50,51,30,30,-0.976967453956604,-0.9225701133410136,3.0,32.7,0.976967453956604,0.9225701133410136,"[0.0, 80]",74.23172450065613
chair_sbx_polynomial_run03,nsga2,sbx,polynomial,3,2026-02-13T17:02:10.071109,30,50,51,30,30,-0.9781186580657959,-0.9490408877531687,3.0,8.533333333333333,0.9781186580657959,0.9490408877531687,"[0.0, 80]",74.98921310901642
chair_sbx_polynomial_run04,nsga2,sbx,polynomial,4,2026-02-13T17:26:20.183042,30,50,51,30,30,-0.974048376083374,-0.8449684619903565,3.0,7.666666666666667,0.974048376083374,0.8449684619903565,"[0.0, 80]",74.01918023824692
chair_sbx_polynomial_run05,nsga2,sbx,polynomial,5,2026-02-13T18:19:31.152588,30,50,51,30,30,-0.9800399541854858,-0.9316468000411987,3.0,7.9,0.9800399541854858,0.9316468000411987,"[0.0, 80]",74.91379052400589
chair_sbx_polynomial_run06,nsga2,sbx,polynomial,6,2026-02-13T18:50:32.266877,30,50,51,30,30,-0.9794030785560608,-0.9237675289312999,3.0,9.166666666666666,0.9794030785560608,0.9237675289312999,"[0.0, 80]",75.06163048744202
chair_sbx_polynomial_run07,nsga2,sbx,polynomial,7,2026-02-13T19:39:13.414195,30,50,51,30,30,-0.9773518443107605,-0.8966229150692622,3.0,27.566666666666666,0.9773518443107605,0.8966229150692622,"[0.0, 80]",74.29734325408936
chair_sbx_polynomial_run08,nsga2,sbx,polynomial,8,2026-02-13T20:17:08.920292,30,50,51,30,30,-0.9805834293365479,-0.9071489095687866,3.0,10.033333333333333,0.9805834293365479,0.9071489095687866,"[0.0, 80]",74.68922573328018
chair_sbx_polynomial_run09,nsga2,sbx,polynomial,9,2026-02-13T20:49:40.828448,30,50,51,30,30,-0.9765800833702087,-0.9077108403046926,3.0,8.866666666666667,0.9765800833702087,0.9077108403046926,"[0.0, 80]",74.88456803560257
chair_sbx_polynomial_run10,nsga2,sbx,polynomial,10,2026-02-13T21:27:24.839650,30,50,51,30,30,-0.9801141619682312,-0.912039402127266,3.0,24.066666666666666,0.9801141619682312,0.912039402127266,"[0.0, 80]",74.19032713770866
