experiment_id,algorithm,crossover,mutation,run_id,timestamp,pop_size,n_gen_max,n_gen_real,n_final_pop,n_feasible_final,f1_min_feas,f1_mean_feas,f2_min_feas,f2_mean_feas,fitness_yolo_max_feas,fitness_yolo_mean_feas,ref_point_hv,hypervolume_feas
umbrella_sbx_polynomial_run01,nsga2,sbx,polynomial,1,2026-02-14T03:59:06.233867,30,50,51,30,30,-0.9649308323860168,-0.9172615309556326,3.0,15.833333333333334,0.9649308323860168,0.9172615309556326,"[0.0, 80]",73.50379645824432
umbrella_sbx_polynomial_run02,nsga2,sbx,polynomial,2,2026-02-14T04:45:47.573009,30,50,51,30,30,-0.9722939729690552,-0.9152696410814921,3.0,13.3,0.9722939729690552,0.9152696410814921,"[0.0, 80]",73.75633972883224
umbrella_sbx_polynomial_run03,nsga2,sbx,polynomial,3,2026-02-14T05:32:28.517464,30,50,51,30,30,-0.9856874346733093,-0.9713141997655232,3.0,26.5,0.9856874346733093,0.9713141997655232,"[0.0, 80]",75.34417480230331
umbrella_sbx_polynomial_run04,nsga2,sbx,polynomial,4,2026-02-14T05:57:48.385786,30,50,51,30,30,-0.9649685621261597,-0.9469337681929271,3.0,14.2,0.9649685621261597,0.9469337681929271,"[0.0, 80]",73.73849529027939
umbrella_sbx_polynomial_run05,nsga2,sbx,polynomial,5,2026-02-14T06:24:07.078634,30,50,51,30,30,-0.9595630764961243,-0.9044868737459183,3.0,10.433333333333334,0.9595630764961243,0.9044868737459183,"[0.0, 80]",73.28770732879639
umbrella_sbx_polynomial_run06,nsga2,sbx,polynomial,6,2026-02-14T06:50:49.150143,30,50,51,30,30,-0.940303385257721,-0.9293360054492951,3.0,14.866666666666667,0.940303385257721,0.9293360054492951,"[0.0, 80]",71.9677265882492
umbrella_sbx_polynomial_run07,nsga2,sbx,polynomial,7,2026-02-14T07:15:12.283217,30,50,51,30,30,-0.9752301573753357,-0.9182140827178955,3.0,8.866666666666667,0.9752301573753357,0.9182140827178955,"[0.0, 80]",74.587067425251
umbrella_sbx_polynomial_run08,nsga2,sbx,polynomial,8,2026-02-14T07:35:49.773477,30,50,43,30,30,-0.959487795829773,-0.9230897148450216,3.0,12.3,0.959487795829773,0.9230897148450216,"[0.0, 80]",73.20249807834625
umbrella_sbx_polynomial_run09,nsga2,sbx,polynomial,9,2026-02-14T08:06:11.637641,30,50,51,30,30,-0.9818226099014282,-0.8650447467962901,3.0,10.533333333333333,0.9818226099014282,0.8650447467962901,"[0.0, 80]",73.89178213477135
umbrella_sbx_polynomial_run10,nsga2,sbx,polynomial,10,2026-02-14T09:09:25.066400,30,50,51,30,30,-0.9596549868583679,-0.9280389467875163,3.0,20.733333333333334,0.9596549868583679,0.9280389467875163,"[0.0, 80]",72.89212048053741
