experiment_id,algorithm,crossover,mutation,run_id,timestamp,pop_size,n_gen_max,n_gen_real,n_final_pop,n_feasible_final,f1_min_feas,f1_mean_feas,f2_min_feas,f2_mean_feas,fitness_yolo_max_feas,fitness_yolo_mean_feas,ref_point_hv,hypervolume_feas,hypervolume_norm,f1_norm,f2_norm
smsemoa_sbx_polynomial_run01,smsemoa,sbx,polynomial,1,2026-02-10T22:04:12.070680,30,50,51,30,30,-0.9598712921142578,-0.9535617073376972,4.0,8.766666666666667,0.9598712921142578,0.9535617073376972,"[0.0, 80]",72.84527707099915,0.9441973846272464,0.06691813785847675,0.6
smsemoa_sbx_polynomial_run02,smsemoa,sbx,polynomial,2,2026-02-10T22:48:45.475844,30,50,51,30,30,-0.9617749452590942,-0.906020752588908,3.0,7.933333333333334,0.9617749452590942,0.906020752588908,"[0.0, 80]",73.66723728179932,0.9629947098695908,0.06139340595622046,0.4
smsemoa_sbx_polynomial_run03,smsemoa,sbx,polynomial,3,2026-02-10T23:37:28.881867,30,50,51,30,30,-0.962361216545105,-0.9499722043673198,4.0,13.166666666666666,0.962361216545105,0.9499722043673198,"[0.0, 80]",72.95058172941208,0.9466055862502848,0.059691944906981535,0.6
smsemoa_sbx_polynomial_run04,smsemoa,sbx,polynomial,4,2026-02-11T00:12:44.060916,30,50,48,30,30,-0.9426337480545044,-0.9029735386371612,3.0,4.6,0.9426337480545044,0.9029735386371612,"[0.0, 80]",72.16077673435211,0.928543615396832,0.11694448317342178,0.4
smsemoa_sbx_polynomial_run05,smsemoa,sbx,polynomial,5,2026-02-11T01:02:55.559006,30,50,51,30,30,-0.953949809074402,-0.8705473522345225,3.0,8.666666666666666,0.953949809074402,0.8705473522345225,"[0.0, 80]",72.56003129482269,0.937674127712445,0.08410330961505333,0.4
smsemoa_sbx_polynomial_run06,smsemoa,sbx,polynomial,6,2026-02-11T02:17:19.728077,30,50,51,30,30,-0.9702035784721376,-0.8915814717610677,3.0,11.833333333333334,0.9702035784721376,0.8915814717610677,"[0.0, 80]",73.88235139846802,0.967914132929382,0.036932049153472334,0.4
smsemoa_sbx_polynomial_run07,smsemoa,sbx,polynomial,7,2026-02-11T03:10:53.512813,30,50,51,30,30,-0.9670932292938232,-0.9069185157616934,3.0,10.0,0.9670932292938232,0.9069185157616934,"[0.0, 80]",73.65940129756927,0.9628155095357662,0.04595882242842537,0.4
smsemoa_sbx_polynomial_run08,smsemoa,sbx,polynomial,8,2026-02-11T03:56:29.991615,30,50,51,30,30,-0.9626373648643494,-0.9158497313658396,3.0,7.366666666666666,0.9626373648643494,0.9158497313658396,"[0.0, 80]",73.71919429302216,0.9641829095242008,0.05889051454493152,0.4
smsemoa_sbx_polynomial_run09,smsemoa,sbx,polynomial,9,2026-02-11T04:45:03.417171,30,50,51,30,30,-0.9661585688591005,-0.9455791453520456,3.0,12.133333333333333,0.9661585688591005,0.9455791453520456,"[0.0, 80]",74.00413608551025,0.9706992146666618,0.048671369267904066,0.4
smsemoa_sbx_polynomial_run10,smsemoa,sbx,polynomial,10,2026-02-11T05:18:14.138420,30,50,51,30,30,-0.9604066014289856,-0.9124780197938284,3.0,5.466666666666667,0.9604066014289856,0.9124780197938284,"[0.0, 80]",73.67020827531815,0.963062653221024,0.06536457729694617,0.4
